CourseID,courseTitle,url,price,numberOfSubscribers,numberOfReviews,numberOflectures,level,rating,contentDuration,publishedTimestamp,department ,instructors 
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,200,,22412,304,Beginner Level,0.55,30-May,2016-03-08T22:28:36Z,Web Development,"Daniel Walter Scott, Phil Ebiner "
19421,Free Beginner Electric Guitar Lessons,,0,101154,1042,95,All Levels,0.88,4-May,2012-06-15T17:00:33Z,Musical Instruments,William Carnahan
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,0,98867,6512,20,All Levels,0.82,3,2015-04-13T18:29:47Z,Web Development,
94430,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,30,84897,,10,,0.79,2,,Web Development,"Colt Steel, Brad Hussey"
130064,Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/code-dynamic-websites/,0,83737,4598,45,Intermediate Level,,6-May,2014-07-19T03:02:05Z,Web Development,Simon Sez
364426,,https://www.udemy.com/understand-javascript/,175,,,85,All Levels,,11-May,,Web Development,
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,,200,75499,,362,Beginner Level,0.96,30,,Musical Instruments,
756150,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,190,,,329,,0.9,22,2016-02-11T07:29:29Z,,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,0,,1716,22,All Levels,0.94,2,2012-07-27T12:54:57Z,Web Development,
65330,Web Development By Doing: HTML / CSS From Scratch,,,,,21,,0.39,1,2013-09-25T00:42:09Z,,Simon Sez
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,,0,,5660,50,,0.57,6,,Web Development,
11174,Become a Web Developer from Scratch,,120,69186,2408,197,All Levels,0.61,27-May,2011-11-19T21:51:20Z,,
49798,,,0,65576,,24,All Levels,,8,2013-04-20T02:25:22Z,,"Paul William, Daniel Boudreau"
314462,Quickstart AngularJS,,0,64128,,17,Beginner Level,,1-May,2014-11-22T12:42:22Z,Web Development,"Paul William, Daniel Boudreau"
128946,Learn Responsive Web Development from Scratch,,0,59639,2692,24,All Levels,0.55,4-May,2013-12-09T12:16:40Z,Web Development,
289230,,,,59361,11580,55,,0.87,7,2014-09-24T00:57:25Z,Web Development,"Colt Steel, Brad Hussey"
461160,Learn and Understand NodeJS,,,,11123,98,,0.73,13,2015-08-31T21:07:48Z,,
556248,The Complete HTML & CSS Course - From Novice To Professional,,,,874,84,,0.82,7-May,,Web Development,
48841,,,,,4397,16,Beginner Level,0.95,1-May,2013-04-07T21:39:25Z,,Simon Sez
580466,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,,195,55332,1225,144,,,20,2015-09-22T18:14:08Z,,
348116,,,0,53851,1779,,All Levels,0.69,4-May,2014-11-30T04:22:11Z,Graphic Design,
80940,Build Websites from Scratch with HTML & CSS,,145,51257,,,All Levels,0.76,8,2013-09-25T15:59:09Z,,Simon Sez
133536,,,0,50855,,,,0.91,1-May,,,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
705264,Modern React with Redux,,,50815,15117,,All Levels,0.62,26-May,2015-12-28T19:20:21Z,,
,,,,,,,,,,,,Simon Sez
,,,,,,,,,,,,
,,,,,,,,,,,,
699380,Creating an animated greeting card via Google Slides,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides-3/,20,770,8,8,All Levels,0.94,1,2016-05-06T15:54:32Z,Graphic Design,
971260,Logo Design - Design a Logo in Photoshop for beginners,https://www.udemy.com/logo-design-photoshop/,30,740,20,12,Beginner Level,0.94,0.583333333,2016-12-02T18:27:20Z,Graphic Design,
927186,Learn Blender 3D  - The introduction course,https://www.udemy.com/learn-blender-3d-in-under-2-hours-the-intro-course/,100,739,12,15,All Levels,0.94,1-May,2016-08-19T00:52:30Z,Graphic Design,"Rob Cubbon, Lindsay Marsh"
231970,Drawing Perspective For Beginners,https://www.udemy.com/perspective-drawing-101/,150,736,50,44,All Levels,0.94,7-May,2016-03-20T21:38:48Z,Graphic Design,William Carnahan
1027080,Logo Portfolio in 1 Hour in Wordpress,https://www.udemy.com/logoportfolio/,100,734,9,36,All Levels,0.94,1,2016-12-06T22:13:44Z,Graphic Design,"Rawson Uddin, Sam Shimizu-Jones"
188584,Letras en Adobe Illustrator,https://www.udemy.com/letras-en-adobe-illustrator/,40,0,0,13,All Levels,0.76,2-May,2014-04-04T21:23:23Z,Graphic Design,"Diego Davilla, Sam Shimizu-Jones"
185526,MicroStation - Células,https://www.udemy.com/microstation-celulas/,20,0,0,9,Beginner Level,0.76,0.616666667,2014-04-15T21:48:55Z,Graphic Design,"Rob Cubbon, William Carnahan"
1177156,Como Criar Logos de Sucesso - Start Designer,https://www.udemy.com/como-criar-logos-de-sucesso-start-designer/,25,0,0,29,All Levels,0.76,6,2017-06-30T05:48:57Z,Graphic Design,Lindsay Marsh
1128984,Photoshop - Aprende a Transformar Imágenes,https://www.udemy.com/photoshop-aprende-a-transformar-imagenes/,20,0,0,14,All Levels,0.76,1,2017-03-08T18:05:51Z,Graphic Design,Rawson Uddin
177614,Super Textos con Photoshop,https://www.udemy.com/super-textos-con-photoshop/,20,0,0,8,All Levels,0.76,2,2014-03-31T20:31:04Z,Graphic Design,"Daniel Walter Scott, Phil Ebiner "
1137738,Photoshop - Creación de Efectos,,20,0,0,11,Beginner Level,0.76,1,2017-03-24T20:06:57Z,Graphic Design,"Rob Cubbon, Lindsay Marsh, Sam Shimizu-Jones"
185528,Iníciate en Microstation,https://www.udemy.com/iniciate-en-microstation/,20,0,0,10,Beginner Level,0.76,1,2014-04-15T21:52:12Z,Graphic Design,"Phil Ebiner, William Carnahan"
1132342,Ultimate Beginner Guitar Masterclass,https://www.udemy.com/beginner-guitar-masterclass/,200,8113,79,124,,0.18,11-May,2017-05-15T23:04:11Z,Musical Instruments,"Rawson Uddin, Daniel Walter Scott, Phil Ebiner "
194692,Quicklessons Piano Course - Learn to Play Piano by Ear!,https://www.udemy.com/quicklessons/,200,7178,260,144,Intermediate Level,0.15,8-May,2014-04-12T17:29:32Z,Musical Instruments,Lindsay Marsh
76524,A new approach to piano and playing songs for beginners,https://www.udemy.com/contemporary-piano/,50,7140,72,26,All Levels,0.18,1-May,2013-08-11T20:39:24Z,Musical Instruments,"Paul William, Rimma Agbo"
409818,Get started playing blues harmonica,https://www.udemy.com/get-started-playing-blues-harmonica/,0,6853,398,23,Intermediate Level,0.99,0.616666667,2015-03-30T22:01:08Z,Musical Instruments,"Daniel Boudreau, Rimma Agbo"
517148,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,https://www.udemy.com/acoustic-fingerstyle-guitar/,200,6565,55,56,All Levels,0.11,4,2015-08-04T17:40:13Z,Musical Instruments,"Paul William, Daniel Boudreau"
824044,PI-101 Top 10 Classical Piano Pieces for Beginners,https://www.udemy.com/pi-101-piano/,0,6292,183,38,Beginner Level,0.96,1,2016-05-30T21:02:20Z,Musical Instruments,Rimma Agbo
20387,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,50,2673,17,29,Beginner Level,0.11,2-May,2012-07-06T21:33:05Z,Musical Instruments,"Daniel Boudreau, Rimma Agbo"
838896,Learn Piano Online-Ambiance Piano Solo,https://www.udemy.com/learn-piano-online-ambiance-piano-solo/,50,8,0,10,,0.29,1,2016-06-21T02:40:52Z,,Caroline McCaskey
1144288,,https://www.udemy.com/poldark-tv-series-soundtracks-for-piano-quicklessons/,20,8,,9,,0,1,,Musical Instruments,"Paul William, Rimma Agbo"
838320,The Art of the Blues Shuffle - A Guitarist's Guide,https://www.udemy.com/the-art-of-the-blues-shuffle-a-guitarists-guide/,20,8,,11,,0,1-May,2016-06-26T16:57:13Z,,
858064,Beginner Level Popular Piano Program - Month 1,,30,,2,13,,0,1,,Musical Instruments,"Paul William, Lesson Pross, Caroline McCaskey"
387064,Guitarra para principiantes,https://www.udemy.com/guitarra-para-principiantes/,20,7,,46,,0,2,2015-01-22T19:34:43Z,Musical Instruments,
212520,Aprende a tocar ritmos latinos en el teclado,https://www.udemy.com/aprende-a-tocar-ritmos-latinos-en-el-teclado/,,7,0,31,,0,3-May,2014-05-09T20:01:06Z,Musical Instruments,
212438,],https://www.udemy.com/aprende-a-tocar-salsa-en-el-piano/,50,,0,17,,0,3,2014-05-09T19:50:45Z,Musical Instruments,
806640,Blues Master - Advanced Techniques Piano Course,https://www.udemy.com/blues-master-advanced-techniques-piano-course/,,7,,14,,0,1,,,
34332,Aprende a tocar la guitarra,https://www.udemy.com/aprende-a-tocar-la-guitarra/,50,7,1,25,,0,1-May,,,"Paul William, Lesson Pross, Caroline McCaskey"
1223570,Learn How To Play 25 Classic Hip Hop Songs Ch.2,,25,,1,27,,0,3-May,2017-05-23T23:51:34Z,Musical Instruments,
944550,Learn Piano Online-A Quiet Solace Piano Solo,https://www.udemy.com/learn-piano-online-a-quiet-solace-piano-solo/,,7,,10,,0,1,2016-08-29T21:48:56Z,Musical Instruments,
806638,Blues Master - Beginner's Techniques Piano Course,https://www.udemy.com/blues-master-basic-techniques-piano-course/,0,2618,41,16,Beginner Level,0.11,1-May,2016-03-29T00:12:41Z,Musical Instruments,
807934,The 80/20 Guitar: Write Music and Play Guitar in 30 Days,https://www.udemy.com/8020guitar/,0,2610,28,24,Beginner Level,0.11,3-May,2016-04-20T15:48:09Z,Musical Instruments,
288854,"Beginner's Guitar: Tuning, Strumming, and Chords!",https://www.udemy.com/beginners-guitar-tuning-strumming-and-chords/,0,2577,30,6,All Levels,0.11,0.616666667,2015-07-03T19:07:11Z,Musical Instruments,Daniel Boudreau
214770,Aprende a tocar Música Cristiana en el piano y teclado,https://www.udemy.com/aprende-a-tocar-musica-cristiana-en-el-piano-y-teclado/,20,17,3,13,All Levels,0.97,1,2014-05-16T17:02:00Z,Musical Instruments,Rimma Agbo
1036338,Instant harmonica - enjoy playing Silent Night tonight!,https://www.udemy.com/instant-harmonica-enjoy-playing-silent-night-tonight/,40,16,3,12,Beginner Level,0.89,0.633333333,2016-12-14T21:53:51Z,Musical Instruments,Paul William 
632234,Guitar Chords and Basic Strumming,,20,,0,35,Beginner Level,0.22,2-May,,,Rimma Agbo
847808,,https://www.udemy.com/takalittle3/,20,,0,36,All Levels,0.76,1,2016-10-03T16:42:12Z,Musical Instruments," Lesson Pross, Daniel Boudreau"
785210,Flute Lessons For Beginners,https://www.udemy.com/the-music-coach-online-flute-lesson-program/,95,,0,41,Beginner Level,0.27,2-May,2016-03-09T00:34:03Z,Musical Instruments,
195196,Aprende a improvisar en la guitarra eléctrica,https://www.udemy.com/aprende-a-improvisar-en-la-guitarra-electrica/,,,0,19,All Levels,0.34,3,2014-05-05T21:59:45Z,,
594854,Getting Started on the Acoustic Guitar,https://www.udemy.com/getting-started-on-the-acoustic-guitar/,20,,0,28,All Levels,0.84,1,2015-10-20T20:02:26Z,Musical Instruments,
963664,Learn Piano Online-Nocturnal Piano Solo,,60,,0,11,Beginner Level,0.53,1-May,2016-09-21T04:58:08Z,Musical Instruments,"Paul William, Lesson Pross, Caroline McCaskey"
1124590,Learn How To Play The Trumpet,https://www.udemy.com/learn-how-to-play-the-trumpet/,75,,0,24,All Levels,0.51,1-May,2017-06-19T21:42:44Z,Musical Instruments,
687742,,https://www.udemy.com/takalittle2/,20,2,0,47,Beginner Level,0.88,3-May,2016-02-18T19:19:38Z,Musical Instruments,
1243162,Aprende a tocar las escalas en el acordeón de botones.,https://www.udemy.com/las-escalas-en-el-acordeon-de-botones/,20,2,0,21,All Levels,0.86,1,2017-06-17T23:48:41Z,Musical Instruments,
